DateTime,CheckID,ItemsReturned
2026-02-26 13:29:11,MANDATORY_FIELDS,0
2026-02-26 13:30:05,INSTALL_DATE_FUTURE,1
2026-02-26 13:30:05,MANDATORY_FIELDS,0
2026-02-26 13:30:05,SERVICEOWN_PLUG_REQUIRES_CABLENOD,4308
2026-02-26 13:30:06,UNITNO_FORMAT,0
2026-02-26 13:34:15,MANDATORY_FIELDS,0
2026-02-26 13:36:25,MANDATORY_FIELDS,0
2026-02-26 14:59:44,INSTALL_DATE_FUTURE,1
2026-02-26 15:41:32,INSTALL_DATE_FUTURE,1
2026-02-26 15:49:33,INSTALL_DATE_FUTURE,1
2026-02-26 15:52:50,INSTALL_DATE_FUTURE,0
2026-03-02 14:21:03,MANDATORY_FIELDS,0
2026-03-02 14:32:56,MANDATORY_FIELDS,0
2026-03-02 14:35:35,MANDATORY_FIELDS,0
2026-03-02 15:10:02,MANDATORY_FIELDS,0
